time,best_cost
0.001247,248.0000000000
0.001248,248.0000000000
0.001249,248.0000000000
0.001250,248.0000000000
0.001251,248.0000000000
0.001252,248.0000000000
0.001253,248.0000000000
0.001255,248.0000000000
0.001256,248.0000000000
0.001257,248.0000000000
0.001258,248.0000000000
0.001259,248.0000000000
0.001260,248.0000000000
0.001261,248.0000000000
0.001263,248.0000000000
0.001264,248.0000000000
0.001265,248.0000000000
0.001266,248.0000000000
0.001267,248.0000000000
0.001268,248.0000000000
0.001270,248.0000000000
0.001276,248.0000000000
0.001277,248.0000000000
0.001279,248.0000000000
0.001280,248.0000000000
0.001281,248.0000000000
0.001282,248.0000000000
0.001284,248.0000000000
0.001285,248.0000000000
0.001286,248.0000000000
0.001287,248.0000000000
0.001288,248.0000000000
0.001289,248.0000000000
0.001290,248.0000000000
0.001291,248.0000000000
0.001292,248.0000000000
0.001293,248.0000000000
0.001295,248.0000000000
0.001296,248.0000000000
0.001297,248.0000000000
0.001298,248.0000000000
0.001299,248.0000000000
0.001300,248.0000000000
0.001301,248.0000000000
0.001303,248.0000000000
0.001304,248.0000000000
0.001305,248.0000000000
0.001306,248.0000000000
0.001307,248.0000000000
0.001308,248.0000000000
0.001312,248.0000000000
0.001313,248.0000000000
0.001314,248.0000000000
0.001315,248.0000000000
0.001316,248.0000000000
0.001317,248.0000000000
0.001318,248.0000000000
0.001319,248.0000000000
0.001320,248.0000000000
0.001321,248.0000000000
0.001322,248.0000000000
0.001324,248.0000000000
0.001325,248.0000000000
0.001326,248.0000000000
0.001327,248.0000000000
0.001328,248.0000000000
0.001329,248.0000000000
0.001330,248.0000000000
0.001331,248.0000000000
0.001332,248.0000000000
0.001333,248.0000000000
0.001334,248.0000000000
0.001335,248.0000000000
0.001336,248.0000000000
0.001338,248.0000000000
0.001339,248.0000000000
0.001340,248.0000000000
0.001341,248.0000000000
0.001342,248.0000000000
0.001343,248.0000000000
0.000000,1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.0000000000
0.000000,1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.0000000000
0.000000,1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.0000000000
0.000000,1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.0000000000
0.000000,1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.0000000000
0.000000,1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.0000000000
0.000000,1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.0000000000
0.000000,1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.0000000000
0.000000,1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.0000000000
0.000000,1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.0000000000
